TC2 scheduled/num_streams 150/260 = 57.69%
k: 3 (9.0, '%', 'unscheduled', 32, 'total', 35, 'e2e too large', [256, 26, 168, 94, 223, 159, 212, 113, 229, 251, 25, 63, 93, 57, 184, 85, 24, 233, 61, 71, 128, 37, 19, 90, 169, 171, 158, 3, 186, 220, 43, 161], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (50.0, '%', 'unscheduled', 39, 'total', 78, 'e2e too large', [137, 166, 12, 76, 253, 66, 79, 38, 237, 248, 96, 205, 56, 78, 131, 102, 124, 44, 172, 82, 144, 244, 200, 183, 73, 202, 209, 59, 249, 70, 178, 32, 228, 210, 112, 133, 164, 17, 4], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (73.0, '%', 'unscheduled', 39, 'total', 147, 'e2e too large', [53, 226, 104, 214, 55, 231, 83, 54, 109, 39, 89, 91, 246, 135, 35, 36, 142, 1, 243, 98, 242, 123, 100, 211, 111, 208, 33, 95, 65, 0, 254, 143, 182, 21, 23, 147, 141, 255, 252], 'bandwidth violation', [])
Stream: id 151 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_5_2 | period 40.0| deadline 4.544 | size 472| injection delay:0['node0_0_5_4', 'sw_0_5', 'node0_0_5_2']['q6']
Stream: id 39 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_4_3 | period 20.0| deadline 4.584 | size 688| injection delay:5['node0_0_0_4', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q7', 'q5', 'q7']
Stream: id 89 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_3_3 | period 8.0| deadline 4.592 | size 1311| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q6', 'q5', 'q7', 'q6']
Stream: id 91 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_3 | period 20.0| deadline 4.608 | size 1446| injection delay:5['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q6', 'q5', 'q6']
Stream: id 246 | k_group 1 | q_n 3 | node0_0_0_2->node0_0_4_2 | period 40.0| deadline 4.616 | size 1436| injection delay:5['node0_0_0_2', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q6', 'q5', 'q7']
Stream: id 114 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_3 | period 8.0| deadline 4.632 | size 417| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_3', 'node0_0_3_3']['q6', 'q5']
Stream: id 219 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_4 | period 8.0| deadline 4.648 | size 1162| injection delay:1['node0_0_3_1', 'sw_0_3', 'node0_0_3_4']['q7']
Stream: id 258 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_4_2 | period 8.0| deadline 4.656 | size 660| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 179 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_2 | period 40.0| deadline 4.664 | size 741| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q6', 'q5']
Stream: id 18 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_5_3 | period 20.0| deadline 4.672 | size 212| injection delay:0['node0_0_5_1', 'sw_0_5', 'node0_0_5_3']['q7']
