TC1 scheduled/num_streams 15/58 = 25.86%
k: 3 (0.0, '%', 'unscheduled', 9, 'total', 9, 'e2e too large', [23, 55, 48, 27, 9, 30, 57, 12, 49], 'bandwidth violation', [])
 cycle_time: 500us bandwidth: 31250.0bytes k: 2 (12.0, '%', 'unscheduled', 15, 'total', 17, 'e2e too large', [5, 6, 16, 13, 3, 51, 29, 35, 45, 20, 42, 44, 10, 14, 52], 'bandwidth violation', [])
 cycle_time: 250us bandwidth: 15625.0bytes k: 1 (41.0, '%', 'unscheduled', 19, 'total', 32, 'e2e too large', [39, 17, 0, 47, 40, 50, 56, 21, 1, 31, 2, 4, 33, 28, 36, 19, 15, 32, 37], 'bandwidth violation', [])
Stream: id 19 | k_group 1 | q_n 3 | node0_0_15_0->node0_0_11_1 | period 8.0| deadline 5.096 | size 141| injection delay:0['node0_0_15_0', 'sw_0_15', 'sw_0_14', 'sw_0_13', 'sw_0_12', 'sw_0_11', 'node0_0_11_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 26 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_0_0 | period 20.0| deadline 5.104 | size 153| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_0', 'node0_0_0_0']['q7', 'q6']
Stream: id 15 | k_group 1 | q_n 3 | node0_0_15_0->node0_0_5_0 | period 8.0| deadline 5.12 | size 126| injection delay:0['node0_0_15_0', 'sw_0_15', 'sw_0_14', 'sw_0_13', 'sw_0_12', 'sw_0_7', 'sw_0_6', 'sw_0_5', 'node0_0_5_0']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7']
Stream: id 25 | k_group 1 | q_n 3 | node0_0_6_1->node0_0_4_0 | period 20.0| deadline 5.144 | size 126| injection delay:0['node0_0_6_1', 'sw_0_6', 'sw_0_5', 'sw_0_4', 'node0_0_4_0']['q7', 'q6', 'q5']
Stream: id 32 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_11_1 | period 20.0| deadline 5.28 | size 299| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_11', 'node0_0_11_1']['q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 43 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_12_1 | period 40.0| deadline 5.304 | size 273| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_12', 'node0_0_12_1']['q7', 'q6']
Stream: id 7 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_5_0 | period 40.0| deadline 5.328 | size 242| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'node0_0_5_0']['q7', 'q6']
Stream: id 24 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_2_1 | period 8.0| deadline 5.376 | size 184| injection delay:0['node0_0_7_1', 'sw_0_7', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_1']['q7', 'q6', 'q5', 'q7']
Stream: id 37 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_8_1 | period 20.0| deadline 5.4 | size 154| injection delay:0['node0_0_3_1', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_11', 'sw_0_10', 'sw_0_9', 'sw_0_8', 'node0_0_8_1']['q7', 'q6', 'q5', 'q7', 'q6', 'q5', 'q7', 'q6']
Stream: id 11 | k_group 1 | q_n 3 | node0_0_9_0->node0_0_11_1 | period 8.0| deadline 5.488 | size 262| injection delay:0['node0_0_9_0', 'sw_0_9', 'sw_0_10', 'sw_0_11', 'node0_0_11_1']['q7', 'q6', 'q5']
Stream: id 54 | k_group 1 | q_n 3 | node0_0_13_0->node0_0_8_1 | period 8.0| deadline 5.544 | size 236| injection delay:0['node0_0_13_0', 'sw_0_13', 'sw_0_14', 'sw_0_15', 'sw_0_8', 'node0_0_8_1']['q7', 'q6', 'q5', 'q7']
Stream: id 8 | k_group 1 | q_n 3 | node0_0_7_1->node0_0_7_0 | period 20.0| deadline 5.688 | size 172| injection delay:0['node0_0_7_1', 'sw_0_7', 'node0_0_7_0']['q7']
Stream: id 46 | k_group 1 | q_n 3 | node0_0_15_0->node0_0_8_1 | period 8.0| deadline 5.696 | size 149| injection delay:0['node0_0_15_0', 'sw_0_15', 'sw_0_8', 'node0_0_8_1']['q7', 'q6']
